Gender,Interest,Skills,Any_Add_Cert_Courses,Cert_Courses_Desc,Course
Male,Trading,Active Listening;Business Knowledge;Risk management skills;Sales;Good communication skills,No,No,BE
Male,Financial Analysis;Technology;Web Designing;Web development;Social causes,Accounting Skills;Programming Language skills;Critical Thinking;Business Knowledge;Analytical Skills;Finance related skills;Communication skills;Problem Solving skills;C++;Python;SQL,Yes,Cpp with ds,B.Tech
Female,Research,"Active Listening, Creativity Skills, Team work, Logical Skills",No,No,B.Pharmacy
Female,Financial Analysis,"Accounting Skills, Cost Accounting",Yes,Tax and law,B.Com
Female,Home interior design,Programming Language skills;People management;Mass Communication;Leadership;Designing skills;Writing skills;Architecture,No,No,B.Sc
Male,Take risk for Profits,"Business Knowledge, Product Knowledge, Team work, Sales",No,No,B.Com
Female,Entrepreneurship,"Gathering Informing, People Management, Communication Skills, Work under Pressure, Leadership, Team work, Interpersonal Skills, Mass Communication, Observation Skills, Risk Managing",Yes,Digital marketing ,B.Tech
Male,Government jobs,Sports,Yes,No,B.Sc
Male,Technology,"AI, ML, Python, Java, SQL, Tableau",Yes,Udemy,Bca
Male,"Research, Take risk for Profits, Understand Human Behaviour","Critical Thinking, Analytic Thinking, Product Knowledge, Team work, Excel, Observation Skills, Risk Managing, Reporting, Reading, Designing Skills",No,No,BE
Male,"Information Technology,Blockchain","
Docker;Kubernetes;Amazon Web Services (AWS);Bash;Apache;
New Relic APM;Jenkins;Internet Information Services (IIS);Terraform;AKS;Continuous Integration and Continuous Delivery (CI/CD);Amazon EC2",Yes,Creating Routing Policies to Handle Website Traffic Using AWS Route53;Kubernetes,B.Tech
Male,Software Job,"Full stack, java, python, reactjs",Yes,"Full stack, java, python, reactjs",B.Tech
Male,Supply Chain Analysis;Data scientist;Machine Learning;Excel,Active Listening;Analytical Skills;Negotiation skills;Product knowledge;Problem Solving skills;Risk management skills;Machine Learning skills;Python,Yes,Data science,BE
Male,Software Job,"Web development (PHP, codeigniter), java development, graphic desiging, Android app development",Yes,"Web development (PHP, codeigniter), java development, graphic desiging, Android app development",B.Tech
Male,Trading;Data analytics;Govt. Job;Data scientist,Data Visualization skills( Power Bi/ Tableau );Python;SQL,No,No,B.Tech
Male,Financial Analysis,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Communication skills;Social Media Marketing,Yes,Global and digital marketing ,B.Com
Male,Technology,"Accounting Skills, Active Listening, AI, Python, Critical Thinking, Programming, Product Knowledge, Creativity Skills, Team work, Excel, Logical Skills, Presentation Skills, Problem Solving skills, Observation Skills, Risk Managing, Reading",Yes,QA QC in Plasic Products and Materials,B.Sc
Male,Technology;Industires,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),Yes,catia,B.Tech
Male,Research;Sales/Marketing;Teaching;Technology;Web Designing;Content Writing;Data analytics;Digital marketing;Data scientist;Web development;Market reserach;Social media marketing;Gardening;Service;Design;Information Technology;Machine Learning;Excel,Programming Language skills;Analytical Skills;Communication skills;Leadership;Editing;Problem Solving skills;Designing skills;Writing skills;Machine Learning skills;Sales;Social Media Marketing;R;Python;Artificial Intelligence;SQL;Architecture;MATLAB;Good communication skills;Teaching;AWS;PHP;Programming Language C;Javascript,Yes,DDIP,M.Tech
Female,Data analytics,Critical Thinking;Analytical Skills;Leadership;Problem Solving skills;Machine Learning skills;Python,Yes,Data science using R and Python ,B.Sc
Female,IT field ,"Python, Java, SQL, Programming, Problem Solving skills",No,No,B.Tech
Female,"Research, Technology","Active Listening, AI, ML, Python, Analytic Thinking, Editing, Creativity Skills, Team work, C++, Problem Solving skills, Mass Communication",Yes,"C, C++",B.Sc
Male,Blockchain,Artistic/Creative Skills,No,No,B.Com
Male,Financial Analysis;Research;Trading;Understand human behaviour;Understand human body;Data analytics;Data scientist;Gardening,Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Civil & Criminal Law;Communication skills;Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;Python;SQL,No,No,BE
Male,Technology;Supply Chain Analysis,Business Knowledge;Negotiation skills;Product knowledge;Sales,Yes,"SAP SCM,  supply chain management",B.Tech
Male,Technology,Designing skills,Yes,Catia,Diploma
Male,Financial Analysis,Company Law;Company Secretarial Work;Due Diligence;Corporate Law;industrial and labour law;company law;Corporate Social Responsibility;Public Company Compliance;Statutory Compliances;Regulatory Compliance,Yes,No,B.Com
Male,Research;Technology;Data analytics;Design,Active Listening;Programming Language skills;Communication skills;Client management;Good communication skills,No,No,B.Tech
Female,Teaching;Technology;Web Designing,Active Listening;Programming Language skills;Gathering Information;Mass Communication;Content creation,Yes,MBA,B.Tech
Male,"Technology, Understand Human Behaviour, Understand Human Body","Analytic Thinking, Gathering Informing, SQL, Risk Managing",No,No,B.E
Female,Technology;Data analytics;Data scientist;All fields related to Data science.,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Python;SQL,Yes,Data Science,B.Sc
Male,Digital marketing;Market reserach,Business Knowledge;Analytical Skills;People management;Communication skills;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Presentation Skills;SQL;Hospitality;HR;Excel,No,No,B.Sc
Male,"Teaching, Technology","Analytic Thinking, Logical Skills, C++, Writing",No,No,B.Tech
Female,Technology,Active Listening;Negotiation skills,No,No,BCA
Male,Technology,"Java, SQL, Programming",No,No,B.Tech
Male,Software Job,stack web development,Yes,stack web development,B.Tech
Male,All fields related to Data science.;Machine Learning;Sports Industry,Programming Language skills;Business Knowledge;Analytical Skills;Communication skills;Python;SQL,Yes,"IBM machine Learning, Full Stack Development, AMCAT corporate communications",BE
Male,Data scientist;Machine Learning,Programming Language skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;R;Linux;Python;Artificial Intelligence;SQL;Java,Yes,Power BI,B.Tech
Male,Financial Analysis;Research;Sales/Marketing;Digital marketing,Critical Thinking;Business Knowledge;Communication skills;Negotiation skills;Artificial Intelligence,No,No,B.Com
Male,Sales/Marketing,Business Knowledge;People management;Communication skills;Product knowledge;Sales;Social Media Marketing,No,No,MBA
Male,"Product Life cycle Management,","Agile Methodologies;Usability Testing;C++;Microsoft OfficeBentley InRoadsProduct Requirements;User Stories;Metrics;Product Management;Product Innovation;User Experience (UX);Research;Business Development;Digital Marketing;
",Yes,Digital Marketing,B.Tech
Male,Technology,"
Power Electronics;Simulink;Inverters;Matlab;PLC;Variable Frequency Drives;Switchgear;Industrial Control",Yes,Simulation and analysis of control algorithms for IGBT converters/inverters,B.Tech
Female,Technology;Data analytics,Programming Language skills;People management;Communication skills;Editing;C++;SQL,Yes,"C++, c sharp, fundamentals of project management",B.Sc
Male,Web development,Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Gathering Information,No,No,B.Tech
Male,Technology;Supply chain analysis,Analytical Skills;Machine Learning skills;Python;Artificial Intelligence;SQL,Yes,No,B.Tech
Male,Financial Analysis;Data analytics;Home interior design;All fields related to Data science.;Construction;Construction Manegement;Project Management,Gathering Information;People management;Communication skills;Problem Solving skills;Sales;Python;Javascript;construction management,No,No,BE
Male,Understand human behaviour,Active Listening;People management;Civil & Criminal Law;Negotiation skills;Machine Learning skills,No,No,Law Hons  
Male,"Research, Sales/Marketing, Technology, Entrepreneurship","Analytic Thinking, Product Knowledge, Team work, Logical Skills",No,No,B.Tech
Male,Research;Technology;Supply Chain Analysis;Govt. Job,Active Listening;Hardware skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Product knowledge;Problem Solving skills;Risk management skills;Writing skills;Social Media Marketing;Presentation Skills;Hospitality;HR;Client management,No,No,B.Tech
Male,Research;Teaching;Technology;Trading,Accounting Skills;Active Listening;Communication skills;Product knowledge;Problem Solving skills,No,No,B.Tech
Male,Research;Teaching;Technology;Trading;Understand human behaviour;Understand human body;Data scientist;Market reserach;Social media marketing;Industires,Programming Language skills;Critical Thinking;Analytical Skills;Problem Solving skills;Python;Medical knowledge;MATLAB;Teaching,No,No,BE
Male,Market reserach;SAP Consultant in MM;Project Management,Business Knowledge;Analytical Skills;Finance related skills;Problem Solving skills;Risk management skills;Presentation Skills,Yes,PMP,B.Tech
Male,Data analytics,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Social Media Marketing;R;Python;Artificial Intelligence,Yes,Data science using python and R programming ,B.Tech
Male,"Trading,Web Designing,Content Writing,Web development,Social media marketing",C++;Hadoop;Java;SQL;Core Java;JavaScript;PL/SQL;Informatica,Yes,C++,B.Tech
Female,Financial Analysis,Accounting Skills,No,No,B.Com
Male,Entrepreneurship,"Active Listening, Python, Gathering Informing, Programming",Yes,Organic farming,B.E
Female,"Financial Analysis;Social causes;Information Technology;Agriculture, services;Excel",Accounting Skills;Finance related skills;Civil & Criminal Law;Negotiation skills;Risk management skills,Yes,Company Secretary,Law Hons
Female,Data Analytics,"JavaScript,Python",Yes,"JavaScript,Python",B.Tech
Female,Research,Subject Knowledge,Yes,PGDCA,B.Sc
Female,Data Analytics,Javascript,Yes,Javascript,B.Tech
Female,Technology,Python,No,No,B.Tech
Female,Technology;Information Technology ,Hardware skills;Programming Language skills;Communication skills;Problem Solving skills;Risk management skills;Writing skills;Presentation Skills;Linux;Python;Java;Cloud Computing,No,No,B.Tech
Female,Financial Analysis,"
Teamwork;Time Management;Company Secretarial Work;Legal Compliance;Communication;TeamLeadership;Interpersonal Skills;Presentations;Interpersonal Communication;Companies Act;Indirect Taxation",Yes,Companies Act;Indirect Taxation,B.Com
Male,Teaching;Technology;Data analytics;Govt. Job;Data scientist;All fields related to Data science.;Design;Machine Learning;Navy Defence related;Oil and Gas,Accounting Skills;Active Listening;Critical Thinking;Analytical Skills;People management;Communication skills;Problem Solving skills;Python;Teaching,Yes,Professional Certification Program - Data Science and AI ,B.Tech
Male,Financial Analysis,Financial Modeling;Financial Analysis;,Yes,Financial Modelling,BBA
Male,"Research,Understand human body,BioTechnology","
Microbiology; cell culture ;molecular Biology; bioprocess;
Katte virus",Yes,"Antimicrobial Resistance - Theory and Methods ;  Cancer Metastasis; 
Fundamentals of Immunology: T Cells and Signaling;
Fundamentals of Immunology: Innate Immunity and B-Cell Function;
Drug Discovery;Drug Delivery Principles and Engineering ",B.Tech
Male,Data Analytics,"Analytic Thinking, SQL, Oracle, Communication Skills, Work under Pressure, Leadership, Excel, Interpersonal Skills, Problem Solving skills, Reporting",Yes,Six Sigma Principles ,B.E
Male,Information Technology,Cloud Computing,Yes,Azure,B.Com
Female,Sales/Marketing,Accounting Skills,No,No,B.Com
Male,Technology,Gathering Informing,Yes,No,B.Tech
Female,"Research, Technology, Entrepreneurship, Understand Human Body","Active Listening, Critical Thinking, Analytic Thinking, Negotiation Skills, Presentation Skills, Problem Solving skills, Writing, Observation Skills, Subject Knowledge",No,No,Biotechnology
Female,Entrepreneurship,"Accounting Skills, Cost Accounting, Excel, Writing",No,No,B.Com
Male,Take risk for Profits,Accounting Skills,Yes,Yes,B.Com
Male,Sales/Marketing,"Business Knowledge, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Creativity Skills, Market Study, Excel, Writing, Reading, Sales",No,No,B.M.S
Male,Machine Learning,Java backend development; c; c++; problem solving skills; jdbc programming ;object oriented programming; string stringbuffer and stringbuilder in Java ;design and prototype in Adobe XD ;hTML; CSS;JavaScript for web developers; responsive web design,Yes,Java backend development; c; c++; problem solving skills; jdbc programming ;object oriented programming; string stringbuffer and stringbuilder in Java ;design and prototype in Adobe XD ;hTML; CSS;JavaScript for web developers; responsive web design,B.Tech
Male,Social Justice;Social causes,Civil & Criminal Law,Yes,Certified Fraud Examiner (CFE),BALLB
Female,Understand human body;Data analytics;Data scientist,Programming Language skills;Artistic/Creative Skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Social Media Marketing;R;Python,Yes,Certification course in data science by CareerEX,B.Sc
Male,Supply Chain Analysis;Content Writing;Data analytics,Accounting Skills;Active Listening;Programming Language skills;Gathering Information;Wealth Management;Content creation,No,No,B.Tech
Female,"Understand Human Behaviour, Understand Human Body","Active Listening, Critical Thinking, SQL, Leadership, Editing, Creativity Skills, Team work, Excel, Logical Skills, Problem Solving skills, Designing Skills",No,No,B.Sc
Female,Data analytics,Data Visualization skills( Power Bi/ Tableau );R;Python;SQL;MATLAB,Yes,Data science and tableau certification,BE
Male,Social Justice,Civil & Criminal Law,No,No,Law Hons
Male,Construction;Construction Manegement,"Proeficiency in Software like STAAD PRO, ETABS",Yes,STAAD-Pro,B.Tech
Female,Web Designing;Data analytics;Web development;Information Technology,Active Listening;Programming Language skills;Gathering Information;Artistic/Creative Skills;Communication skills;Leadership;Problem Solving skills;Writing skills;Programming Language C,No,No,BCA
Female,Research;Technology;Data analytics;Data scientist;Web development,Active Listening;Programming Language skills;Gathering Information;C++;Java,Yes,Machine learning,MCA
Female,"Technology, Understand Human Body","Leadership, Team work, Presentation Skills, Writing, Observation Skills, Designing Skills",No,No,B.Sc
Male,"Sales/Marketing, Take risk for Profits, Teaching, Entrepreneurship","ML, SQL, Leadership, Writing, Tableau",Yes,Data science,B.Tech
Male,Technology;Data analytics,Active Listening;Programming Language skills;Communication skills;Machine Learning skills;Python,Yes,Data Science using Python and R Programming Languages,B.Sc
Male,Financial Analysis;News Coverage;Social Justice;Teaching;Technology;Trading;Understand human behaviour,Accounting Skills;Hardware skills;Critical Thinking;Business Knowledge;Finance related skills;Civil & Criminal Law;Communication skills;Mass Communication;Leadership;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Sales;Python;SQL,Yes,"Tally ERP9, SAP",B.Com
Male,Financial Analysis;News Coverage;Social Justice;Teaching;Technology;Trading;Govt. Job;Data scientist;Social causes,Accounting Skills;Hardware skills;Critical Thinking;Business Knowledge;Finance related skills;Civil & Criminal Law;Communication skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL;Good communication skills;Teaching,Yes,"Tally ERP9, SAP",B.Com
Female,"Research, Trading, Understand Human Behaviour","AI, ML, Python, Critical Thinking, Analytic Thinking, Artistic skills, Work under Pressure, Team work, Logical Skills, Presentation Skills",Yes,Data Science and Artificial Intelligence programe,B.Sc
Male,"Financial Analysis, Research, Sales/Marketing, Trading, Entrepreneurship","Active Listening, Leadership, Market Study, Team work, Mass Communication, Writing, Reading, Sales",Yes,Master in diploma.. In designing Cadd ,BE
Male,Sales/Marketing,Sales,No,No,B.Com
Male,Financial Analysis;News Coverage;Sales/Marketing;Social causes;Construction;Construction Manegement,Finance related skills;People management;Communication skills;Leadership;Sales;Social Media Marketing,No,No,BBA
Male,Financial Analysis;Research;Sales/Marketing;Technology;Trading;Supply Chain Analysis;Data analytics;Data scientist;Market reserach;Service;All fields related to Data science.;Industires;Design;SAP Consultant in MM;Product Life cycle Management,Active Listening;Hardware skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;People management;Communication skills;Product knowledge;Problem Solving skills;Risk management skills;AWS,No,No,BE
Male,Financial Analysis,Programming Language skills;Analytical Skills;C++;Linux;SQL;Java;Cloud Computing,Yes,DIPLOMA IN ADVANCED COMPUTING (CDAC),B.Tech
Female,Research;All fields related to Data science.;Design,"Analytical Skills;Python;Proeficiency in Software like STAAD PRO, ETABS;Good communication skills;Teaching",Yes,"DIPLOMA IN BUILDING DESIGN,PRIMAVERA,MX ROAD",BE
Male,Industires,Active Listening,No,No,Diploma
Male,Trading;Data analytics;Data scientist;All fields related to Data science.,Active Listening;People management;Leadership;Cloud Computing,Yes,Diploma in cloud computing,BE
Male,Information Technology;Sports Industry;Salesforce Admin,Hardware skills;Leadership;Designing skills,No,No,BA
Female,Web Designing;Data scientist,Active Listening;Programming Language skills;Critical Thinking;Communication skills;Java;Cloud Computing,Yes,No,B.Tech
Male,Teaching;Technology;Understand human body,Active Listening;Gathering Information;Analytical Skills;Leadership;Machine Learning skills;Interpersonal skills;Medical knowledge,No,No,BE
Male,Software developer,"AI, ML, Python, Analytic Thinking, SQL, Programming, C++",Yes,Data science ,B.Tech
Male,Teaching;Design,Gathering Information;Finance related skills;Civil & Criminal Law,No,No,B.Tech
Male,Teaching,"Active Listening,Work under Pressure,Team work,Presentation skills,Reading",No,No,B.Tech
Male,"Data scientist,Web development,Social causes,All fields related to Data science,Machine Learning",Bootstrap;Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP;Codeignitor;Loopback;,Yes,HTML,B.Tech
Male,"Sales/Marketing, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Logical Skills, Problem Solving skills, Reading, Sales",No,No,Bachelor of Management Studies
Female,Govt. Job,Teaching experience,No,No,B.Sc
Female,Research;Sales/Marketing;Teaching;Trading;Understand human behaviour,Active Listening;Critical Thinking;Business Knowledge;People management;Communication skills;Leadership;Problem Solving skills;Risk management skills;Writing skills;Hospitality;Client management;Good communication skills,Yes,Pioneer lab course work ,B.Sc
Male,Hospitality ,"Accounting Skills, Business Knowledge, Editing, Excel, Designing Skills, Sales",Yes,Diploma in pharmacy ,Diploma in pharmacy 
Male,News Coverage;Social Justice;Content Writing;Govt. Job,Accounting Skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills,No,No,B.Sc
Male,"Research,Understand human body,BioTechnology",Polymerase Chain Reaction (PCR);Molecular Biology;Life Sciences;Molecular Biology protein purification;protein chemistry;Protein Assays;Protein Electrophoresis;Protein Chromatography;Western Blotting;Protein Structure Prediction;Protein Kinases; Protein structure ;protein characterization ;protein engineering,Yes,Industrial biotechnology,B.Tech
Male,Data analytics,Programming Language skills;Machine Learning skills;Python,Yes,Data Science ,BE
Male,Technology,Active Listening;Critical Thinking,Yes,No,B.Sc
Female,News Coverage,"Communication Skills, Leadership, Problem Solving skills, Subject Knowledge",No,No,B.Sc
Male,"Research,Understand human body,BioTechnology","
Phytochemistry;Metabolomics;Protein Expression;PCR;Molecular Biology;Life Sciences;Polymerase Chain Reaction (PCR);DNA;Biochemistry;Bioinformatics;Cell Culture;Protein Purification;Chemometrics",Yes,Smart Metabolic engineering for plant biosynthesis;Small molecule analysis by NMR spectroscopy and mass spectrometry,B.Tech
Female,Teaching,"Business Knowledge, Communication Skills, Observation Skills",Yes,D.pharmacy,B.Sc
Female,News Coverage;Content Writing,Artistic/Creative Skills;Mass Communication,No,No,Bachelor of journalism
Female,Teaching,Teaching ,Yes,Dled,BA
Male,"Research, Technology","Python, Java, SQL, Oracle",No,No,B.Sc
Male,All fields related to Data science.,Leadership;R;Python;SQL,Yes,Data Science,B.Tech
Male,Software and research,"Python, Critical Thinking, Analytic Thinking, Work under Pressure, Creativity Skills, Team work, Derivatives, Excel, Logical Skills, Interpersonal Skills, Observation Skills",No,No,B.Sc
Female,Financial Analysis;Sales/Marketing;Trading;Understand human behaviour,Active Listening;Finance related skills;People management;Communication skills;Negotiation skills;Interpersonal skills;HR,Yes,Leadership and Organizational Behaviour,BBA
Male,Teaching;Technology;Trading;Home interior design;Industires;Design,Active Listening;Hardware skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge,No,No,B.Tech
Male,"Financial Analysis, Sales/Marketing, Teaching","Team work, Logical Skills, Writing",No,No,B.Sc
Male,Financial Analysis;Sales/Marketing;Technology;Understand human behaviour;Understand human body;Supply Chain Analysis;Game industry,Accounting Skills;Artistic/Creative Skills;Business Knowledge;Finance related skills;People management;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Risk management skills;Sales;Client management,Yes,CPTA,MBA
Male,Technology;Supply Chain Analysis;SAP Consultant in MM,Business Knowledge;People management;Leadership;Problem Solving skills;SAP,Yes,SAP MM & SAP S/4 HANA in Sourcing and Procurement ,BE
Male,Software Job,"Python, Java",Yes,"Python, Java",B.Tech
Male,Technology,"Excel, Interpersonal Skills, Presentation Skills, Subject Knowledge",No,No,B.Tech
Female,Web Designing;Web development;Social media marketing;Information Technology,"Programming Language skills;Communication skills;Leadership;Problem Solving skills;Linux;SQL;Good communication skills;Foreign languages french, Spanish",No,No,B.Tech
Male,Financial Analysis,Accounting Skills,No,No,B.Com
Male,Software Job,NO,No,No,B.Tech
Female,IT,"Python, Editing, Team work, Problem Solving skills, Writing",Yes,"Azure, python",B.Tech
Male,"Take risk for Profits, Technology","Python, SQL, Work under Pressure",Yes,Python,B.Tech
Female,Software Job,NO,No,No,B.Tech
Male,Software Job,Diploma in visual effects,Yes,Diploma in visual effects,B.Tech
Female,Technology,"Civil & Criminal Law, Communication Skills, Sales",No,No,B.Tech
Male,Software Job,NO,No,No,B.Tech
Male,Technology,"Python, Java, SQL, Oracle, Programming, Team work, Linux, Problem Solving skills, Subject Knowledge",Yes,PRACTICAL ETHICAL HACKING,B.E
Male,Govt. Job,Communication skills,Yes,NTD,BE
Male,Web development,Programming Language skills;Leadership,No,No,BE
Male,Technology,Designing skills,No,No,BE
Male,Entrepreneurship,"Business Knowledge, People Management, Negotiation Skills, Work under Pressure, Leadership, Creativity Skills, Logical Skills, Interpersonal Skills, Problem Solving skills",No,No,BBA
Male,Technology;Trading;Understand human behaviour;Design,Critical Thinking;Artistic/Creative Skills;Leadership;Product knowledge;Problem Solving skills;Designing skills,Yes,UX Design,B.Tech
